"basin","region","subRegion","siteName","latitude","longitude","depth","intrumentType","projectCode","tagNum","fate","dateDeployment","dateRecovery","duration","species","massBlockPre","massEpoxiedPre","volumeBlockPre","densityRWPre","densityHUPre","densityCTPre","massDirtyPost","massCleanPost","volumeBlockPost","densityHUPost","densityCTPost","macroboring","grazing","accretion","machinePre","machinePost","carbEQPost","sa","notes","instrument","daysDeployed","yearsDeployed","loc1","loc2","loc3","loc1.2","deltaMass_mgcm2y","deltaMass_kgm2y","deltaVolume_mm3cm2y","deltaDensity_mgcm3cm2y","macroboring_mm3cm2y","accretion_mm3cm2y","grazing_mm3cm2y"
"atlantic","DRTO","west","Bird Key Reef",24.61123,-82.87045,13.7,"BMU","NCRMP",4917,"SUCCESSFULLY RECOVERED",2015-09-02,2018-07-11,2.86,"O.faveolata",14.74,32.5247,10.85277775,1.358177633,NA,1.700524094,NA,33.3727,10.44620419,NA,1.45033752,-0.240789414,-0.165784146,0.947776794,"micro","macro",NA,NA,NA,NA,1043,2.85753424657534,"florida","dryTortugas","dryTortugas-west","florida.dryTortugas",12.3649728347715,0.123649728347715,7.89146613974112,-3.64805447067753,-3.51103132430489,13.8198517821189,-2.41735431807287
"atlantic","FLK","lower","LKO2",24.55326,-81.43753,7,"BMU","BMUQuest",3585,"SUCCESSFULLY RECOVERED",2016-04-19,2020-03-06,3.882191781,"O. faveolata",12.6551,29.7335,11.09343624,1.140773672,NA,1.156643789,32.985,34.5165,10.95150661,NA,1.256998428,-0.055463791,-0.0864658390000024,3.374656677,"macro","macro",NA,NA,NA,NA,1417,3.88219178082192,"florida","keys","keys-lko","florida.keys",51.3348329804752,0.513348329804752,34.6961118605916,1.07708313440955,-0.595280043372148,36.2194097596154,-0.928017855651637
"atlantic","FLK","upper","UKO3",24.88266,-80.56088,6.5,"BMU","BMUQuest",3594,"SUCCESSFULLY RECOVERED",2016-04-19,2020-01-07,3.720547945,"O. faveolata",16.8901,34.8306,11.97926044,1.409945137,NA,1.41645581,30.2548,29.5014,7.263988495,NA,1.53720341,-1.393220901,-3.322051044,0.466000557,"macro","macro",NA,NA,NA,NA,1358,3.72054794520548,"florida","keys","keys-uko","florida.keys",-59.6820692194403,-0.596820692194403,-47.5878760622238,1.35226049337261,-15.6027745724411,5.21877157906848,-37.2038730688512
"atlantic","FLK","lower","LKO2",24.55326,-81.43753,7,"BMU","BMUQuest",3709,"SUCCESSFULLY RECOVERED",2016-04-19,2020-03-06,3.882191781,"O. faveolata",11.6604,28.4425,9.824317932,1.186891556,NA,1.168784414,27.146,25.8504,4.563282967,NA,1.37991224,-0.54747963,-4.713555335,2.206973076,"macro","macro",NA,NA,NA,NA,1417,3.88219178082192,"florida","keys","keys-lko","florida.keys",-27.8204099035521,-0.278204099035521,-32.7785400342566,2.2659861353211,-5.87597226976006,23.6869316848977,-50.5894994493943
"atlantic","FLK","lower","LKO2",24.55326,-81.43753,7,"BMU","BMUQuest",3714,"SUCCESSFULLY RECOVERED",2016-04-19,2020-03-06,3.882191781,"O. faveolata",17.953,36.4117,11.19027042,1.604340139,NA,1.59524631,39.6821,38.3865,10.82939529,NA,1.66307078,-0.23138237,-0.129492759999998,1.435149193,"macro","macro",NA,NA,NA,NA,1417,3.88219178082192,"florida","keys","keys-lko","florida.keys",21.195071747824,0.21195071747824,11.5299351033581,0.72794435279934,-2.48337347241825,15.4031244249882,-1.38981584921193
"atlantic","FLK","lower","LKO2",24.55326,-81.43753,7,"BMU","BMUQuest",3742,"SUCCESSFULLY RECOVERED",2016-04-19,2020-03-06,3.882191781,"O. faveolata",19.5861,36.8759,11.88041782,1.648603635,NA,1.64666439,46.0159,42.5099,11.38613605,NA,1.73579301,-0.021921158,-0.472360612000001,3.471387863,"macro","macro",NA,NA,NA,NA,1417,3.88219178082192,"florida","keys","keys-lko","florida.keys",60.4684191954834,0.604684191954834,31.9525912710245,0.956596868383911,-0.235274719771818,37.2576032108622,-5.06973722006588
"atlantic","FLK","lower","LKO2",24.55326,-81.43753,7,"BMU","BMUQuest",3755,"SUCCESSFULLY RECOVERED",2016-04-19,2020-03-06,3.882191781,"O. faveolata",15.445,32.0662,11.07240772,1.394908893,NA,1.37845799,33.6824,33.0171,9.965835571,NA,1.42818088,-0.128488541,-0.978083608,1.261685371,"macro","macro",NA,NA,NA,NA,1417,3.88219178082192,"florida","keys","keys-lko","florida.keys",10.2057898141613,0.102057898141613,1.6647943433898,0.53366428046342,-1.37903779890026,13.5413773351858,-10.4975451928958
"atlantic","FLK","lower","LKO2",24.55326,-81.43753,7,"BMU","BMUQuest",3776,"SUCCESSFULLY RECOVERED",2016-04-19,2020-03-06,3.882191781,"O. faveolata",17.4191,33.9768,12.21072006,1.426541589,NA,1.41263556,39.3708,38.659,11.23126316,NA,1.51624564,-0.119330406,-0.860126494000001,2.929392815,"macro","macro",NA,NA,NA,NA,1417,3.88219178082192,"florida","keys","keys-lko","florida.keys",50.2529698894378,0.502529698894378,20.9282112730828,1.11202302987532,-1.28074565366972,31.440495691455,-9.23153876470244
"atlantic","FLK","lower","LKO2",24.55326,-81.43753,7,"BMU","BMUQuest",3783,"SUCCESSFULLY RECOVERED",2016-04-19,2020-03-06,3.882191781,"O. faveolata",18.2366,34.5927,11.31856155,1.611211806,NA,1.57752462,44.135,43.192,11.05206585,NA,1.66623094,-0.083281517,-0.183214183,4.994530678,"macro","macro",NA,NA,NA,NA,1417,3.88219178082192,"florida","keys","keys-lko","florida.keys",92.2942984003764,0.922942984003764,50.7449061094449,0.952064420136439,-0.893841263967302,53.6051428331569,-1.96639545974477
"atlantic","FLK","upper","UKO3",24.88266,-80.56088,13,"BMU","BMUQuest",3588,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-07,3.717808219,"O. faveolata",14.6555,32.5457,11.4311285,1.282069395,NA,1.316925715,33.0033,32.1648,9.272872925,NA,1.42903031,-0.372239113,-1.786016462,0.972719193,"macro","macro",NA,NA,NA,NA,1357,3.71780821917808,"florida","keys","keys-uko","florida.keys",-4.26886821419795,-0.0426886821419795,-13.2866856862565,1.25639207734586,-4.17180288150946,10.9015753329956,-20.0164581377426
"atlantic","FLK","middle","MKO2",24.63388,-81.08344,5,"BMU","BMUQuest",3589,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",16.9865,33.9282,11.17518139,1.52002007,NA,1.49056873,39.1697,37.7294,10.49145412,NA,1.59194874,-0.054717064,-0.629010206,2.256660461,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",42.0435757575758,0.420435757575758,17.397594385303,1.1213243530303,-0.60520388969697,24.9600323716667,-6.95723409666667
"atlantic","FLK","upper","UKO1",24.9025,-80.53104,14,"BMU","BMUQuest",3590,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-07,3.717808219,"O. faveolata",15.6629,32.9268,11.53078651,1.358354869,NA,1.35583385,36.12,35.0631,9.253458023,NA,1.46809622,-0.304621697,-1.97270679,2.359176636,"macro","macro",NA,NA,NA,NA,1357,3.71780821917808,"florida","keys","keys-uko","florida.keys",23.9421978629329,0.239421978629329,0.917298402880136,1.25816031226971,-3.41399285817367,26.4400476584377,-22.1087563973839
"atlantic","FLK","middle","MKO2",24.63388,-81.08344,5,"BMU","BMUQuest",3592,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",16.155,33.9222,11.16076183,1.447481834,NA,1.45702872,39.6066,38.0368,10.06985378,NA,1.57906245,-0.037284851,-1.053623199,2.817975998,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",45.5099696969697,0.455099696969697,19.1024182127273,1.34976701363636,-0.412393048939394,31.1685224021212,-11.6537111404545
