basin,ncrmpRegion,region,subRegion,siteName,PRIMARY_SAMPLE_UNIT,YEAR,LAT_DEGREES,LON_DEGREES,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,perryDensity,density_ind_ha,deltaDensity,perryBiomass,biomass_kg_ha,deltaBiomass,bioerosion_kg_m2_yr1
atlantic,FLK,FLK,upper,offshore,1346,2022,24.87135,-80.57406,24.87135,-80.57406,24.87135,-80.57406,1107.954545,1779.661017,-671.706472,63.93853291,79.05543373,-15.11690082,0.447423011
atlantic,FLK,FLK,upper,offshore,1347,2018,24.884365,-80.55631,24.88436527,-80.55630933,24.88436527,-80.55630933,1136.363636,2019.774011,-883.410375,102.8776581,132.3069601,-29.429302,0.43693052
atlantic,FLK,FLK,upper,offshore,1348,2018,24.885885,-80.562025,24.88588467,-80.56202527,24.88588467,-80.56202527,369.3181818,649.7175141,-280.3993323,32.31610665,37.62949164,-5.31338499,0.004773241
atlantic,FLK,FLK,upper,inshore,1371,2022,24.93279,-80.54947,24.93279,-80.54947,24.93279,-80.54947,482.9545455,1214.689266,-731.7347205,50.98959141,58.29992808,-7.31033667,0.845939927
atlantic,FLK,FLK,upper,inshore,1372,2022,24.93671,-80.54596,24.93671,-80.54596,24.93671,-80.54596,227.2727273,310.7344633,-83.461736,8.053768972,4.858095876,3.195673096,0
atlantic,FLK,FLK,upper,inshore,1375,2022,24.93747,-80.54764,24.93747,-80.54764,24.93747,-80.54764,312.5,1101.694915,-789.194915,22.55545047,30.54878085,-7.99333038,0.181345802
atlantic,FLK,FLK,upper,inshore,1376,2022,24.93409,-80.54923,24.93409,-80.54923,24.93409,-80.54923,198.8636364,677.9661017,-479.1024653,19.25368589,34.06663921,-14.81295332,0.05198322
atlantic,FLK,FLK,upper,inshore,1379,2022,24.90404,-80.61603,24.90404,-80.61603,24.90404,-80.61603,880.6818182,2005.649718,-1124.9679,59.45219726,58.13125113,1.32094613,0.287325562
atlantic,FLK,FLK,upper,inshore,1380,2022,24.90369,-80.61624,24.90369,-80.61624,24.90369,-80.61624,1051.136364,1666.666667,-615.530303,149.8055105,193.029941,-43.2244305,0.464269395
atlantic,FLK,FLK,upper,offshore,1387,2018,24.897415,-80.537895,24.89741372,-80.53789817,24.89741372,-80.53789817,838.0681818,1045.19774,-207.1295582,164.6118176,154.9576896,9.654128,0.755987425
atlantic,FLK,FLK,upper,offshore,1389,2018,24.893425,-80.540905,24.89342506,-80.54090462,24.89342506,-80.54090462,568.1818182,1878.531073,-1310.349255,41.18634801,49.7732913,-8.58694329,0.127688254
