basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,boundaryNumber,habitatFishSurvey,fxnGroup,density_ind_m2,biomass_g_m2,density_ind_PSU,biomass_kg_PSU,density_ind_ha,biomass_kg_ha
atlantic,DRTO,west,,birdKeyReef,2016,2580U,24.60273717,-82.87375567,24.60273717,-82.87375567,,SPGR_HR,excavator,,,3.375,0.428794125,190.6779661,24.22565678
atlantic,DRTO,west,,birdKeyReef,2016,2580U,24.60273717,-82.87375567,24.60273717,-82.87375567,,SPGR_HR,scraper,,,19.75,0.245134007,1115.819209,13.84937893
atlantic,DRTO,west,,birdKeyReef,2016,2581U,24.61012901,-82.87097967,24.61012901,-82.87097967,,SPGR_HR,excavator,,,1,0.122591163,56.49717514,6.926054407
atlantic,DRTO,west,,birdKeyReef,2016,2581U,24.61012901,-82.87097967,24.61012901,-82.87097967,,SPGR_HR,scraper,,,20.25,0.530766729,1144.067797,29.98682085
atlantic,DRTO,west,,birdKeyReef,2018,2770U,24.58301576,-82.88912,24.58301576,-82.88912,,SPGR_HR,excavator,,,1.75,0.493939334,98.8700565,27.90617706
atlantic,DRTO,west,,birdKeyReef,2018,2770U,24.58301576,-82.88912,24.58301576,-82.88912,,SPGR_HR,scraper,,,8.75,0.10354073,494.3502825,5.849758757
atlantic,DRTO,west,,birdKeyReef,2018,2856U,24.60654829,-82.87320449,24.60654829,-82.87320449,,SPGR_HR,excavator,,,1.5,0.211627836,84.74576271,11.95637492
atlantic,DRTO,west,,birdKeyReef,2018,2856U,24.60654829,-82.87320449,24.60654829,-82.87320449,,SPGR_HR,scraper,,,15.25,0.110079126,861.5819209,6.219159661
atlantic,DRTO,west,,birdKeyReef,2018,2857U,24.60507991,-82.87389995,24.60507991,-82.87389995,,SPGR_HR,excavator,,,8.5,5.15147009,480.2259887,291.0435079
atlantic,DRTO,west,,birdKeyReef,2018,2857U,24.60507991,-82.87389995,24.60507991,-82.87389995,,SPGR_HR,scraper,,,13.75,0.149078758,776.8361582,8.422528701
atlantic,FGB,east,,eastBank,2018,7190,27.9091,-93.60069,27.9091,-93.60069,,HR,excavator,,,1,0.081474652,56.49717514,4.603087684
atlantic,FGB,east,,eastBank,2018,7190,27.9091,-93.60069,27.9091,-93.60069,,HR,scraper,,,0.5,0.23895,28.24858757,13.5
atlantic,FGB,east,,eastBank,2018,7208,27.9092,-93.60012,27.9092,-93.60012,,HR,excavator,,,3,1.509571859,169.4915254,85.28654571
atlantic,FGB,east,,eastBank,2018,7208,27.9092,-93.60012,27.9092,-93.60012,,HR,scraper,,,0.5,0.26365035,28.24858757,14.8955
atlantic,FGB,east,,eastBank,2018,7246,27.90907,-93.59922,27.90907,-93.59922,,HR,excavator,,,1.5,0.868563859,84.74576271,49.07140446
atlantic,FGB,east,,eastBank,2018,7246,27.90907,-93.59922,27.90907,-93.59922,,HR,scraper,,,1,0.0445863,56.49717514,2.519
atlantic,FGB,east,,eastBank,2018,7302,27.90515,-93.59765,27.90515,-93.59765,,HR,excavator,,,1,0.410530741,56.49717514,23.19382718
atlantic,FGB,east,,eastBank,2018,7302,27.90515,-93.59765,27.90515,-93.59765,,HR,scraper,,,2.5,0.24207405,141.2429379,13.6765
atlantic,FGB,east,,eastBank,2018,7304,27.9058,-93.59762,27.9058,-93.59762,,HR,excavator,,,0.5,0.190141694,28.24858757,10.74246859
atlantic,FGB,east,,eastBank,2018,7304,27.9058,-93.59762,27.9058,-93.59762,,HR,scraper,,,0.5,0.13828125,28.24858757,7.8125
atlantic,FGB,east,,eastBank,2018,7339,27.90671,-93.59649,27.90671,-93.59649,,HR,excavator,,,1.5,0.175090134,84.74576271,9.892097966
atlantic,FGB,east,,eastBank,2018,7339,27.90671,-93.59649,27.90671,-93.59649,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2018,7400,27.9096,-93.5973,27.9096,-93.5973,,HR,excavator,,,0.5,0.405818315,28.24858757,22.92758842
atlantic,FGB,east,,eastBank,2018,7400,27.9096,-93.5973,27.9096,-93.5973,,HR,scraper,,,1,0.1948416,56.49717514,11.008
atlantic,FGB,east,,eastBank,2018,7401,27.9094,-93.5973,27.9094,-93.5973,,HR,excavator,,,2,0.447753795,112.9943503,25.29682458
atlantic,FGB,east,,eastBank,2018,7401,27.9094,-93.5973,27.9094,-93.5973,,HR,scraper,,,3.5,0.788027508,197.740113,44.52132814
atlantic,FGB,east,,eastBank,2018,7402,27.9094,-93.5975,27.9094,-93.5975,,HR,excavator,,,1.5,0.472585135,84.74576271,26.69972514
atlantic,FGB,east,,eastBank,2018,7402,27.9094,-93.5975,27.9094,-93.5975,,HR,scraper,,,4.5,0.0215586,254.2372881,1.218
atlantic,FGB,east,,eastBank,2018,7403,27.9096,-93.5975,27.9096,-93.5975,,HR,excavator,,,3,0.186148416,169.4915254,10.51685966
atlantic,FGB,east,,eastBank,2018,7403,27.9096,-93.5975,27.9096,-93.5975,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2018,7404,27.9075,-93.5991,27.9075,-93.5991,,HR,excavator,,,2,0.022236954,112.9943503,1.256325085
atlantic,FGB,east,,eastBank,2018,7404,27.9075,-93.5991,27.9075,-93.5991,,HR,scraper,,,2,0.253216483,112.9943503,14.30601599
atlantic,FGB,east,,eastBank,2018,7405,27.9073,-93.5991,27.9073,-93.5991,,HR,excavator,,,3,1.849675316,169.4915254,104.5014303
atlantic,FGB,east,,eastBank,2018,7405,27.9073,-93.5991,27.9073,-93.5991,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2018,7406,27.9073,-93.5994,27.9073,-93.5994,,HR,excavator,,,1.5,1.251769827,84.74576271,70.72145915
atlantic,FGB,east,,eastBank,2018,7406,27.9073,-93.5994,27.9073,-93.5994,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2018,7407,27.9075,-93.5994,27.9075,-93.5994,,HR,excavator,,,1,0.028236037,56.49717514,1.595256328
atlantic,FGB,east,,eastBank,2018,7407,27.9075,-93.5994,27.9075,-93.5994,,HR,scraper,,,1.5,0.340263138,84.74576271,19.2239061
atlantic,FGB,east,,eastBank,2018,7408,27.9087,-93.5997,27.9087,-93.5997,,HR,excavator,,,0.5,0.258674306,28.24858757,14.61436757
atlantic,FGB,east,,eastBank,2018,7408,27.9087,-93.5997,27.9087,-93.5997,,HR,scraper,,,4.5,0.033056955,254.2372881,1.867624576
atlantic,FGB,east,,eastBank,2018,7409,27.9087,-93.5999,27.9087,-93.5999,,HR,excavator,,,1,0.444313661,56.49717514,25.10246672
atlantic,FGB,east,,eastBank,2018,7409,27.9087,-93.5999,27.9087,-93.5999,,HR,scraper,,,1,0.00756675,56.49717514,0.4275
atlantic,FGB,east,,eastBank,2018,7410,27.9089,-93.5999,27.9089,-93.5999,,HR,excavator,,,1.5,0.407506986,84.74576271,23.02299356
atlantic,FGB,east,,eastBank,2018,7410,27.9089,-93.5999,27.9089,-93.5999,,HR,scraper,,,2.5,0.909265486,141.2429379,51.37093141
atlantic,FGB,east,,eastBank,2022,9044,27.90807,-93.60203,27.90807,-93.60203,,HR,excavator,,,1.5,0.258525574,84.74576271,14.60596463
atlantic,FGB,east,,eastBank,2022,9044,27.90807,-93.60203,27.90807,-93.60203,,HR,scraper,,,0.5,0.23895,28.24858757,13.5
atlantic,FGB,east,,eastBank,2022,9045,27.90875,-93.60218,27.90875,-93.60218,,HR,excavator,,,3,3.005166206,169.4915254,169.7834015
atlantic,FGB,east,,eastBank,2022,9045,27.90875,-93.60218,27.90875,-93.60218,,HR,scraper,,,8,0.192968719,451.9774011,10.90218751
atlantic,FGB,east,,eastBank,2022,9046,27.90995,-93.60215,27.90995,-93.60215,,HR,excavator,,,4,0.659951577,225.9887006,37.28539983
atlantic,FGB,east,,eastBank,2022,9046,27.90995,-93.60215,27.90995,-93.60215,,HR,scraper,,,2.5,0.011264165,141.2429379,0.636393503
atlantic,FGB,east,,eastBank,2022,9048,27.90948,-93.60183,27.90948,-93.60183,,HR,excavator,,,4,1.109971904,225.9887006,62.71027706
atlantic,FGB,east,,eastBank,2022,9048,27.90948,-93.60183,27.90948,-93.60183,,HR,scraper,,,5,0.050943529,282.4858757,2.87816548
atlantic,FGB,east,,eastBank,2022,9049,27.91183,-93.60093,27.91183,-93.60093,,HR,excavator,,,2,0.861387621,112.9943503,48.66596729
atlantic,FGB,east,,eastBank,2022,9049,27.91183,-93.60093,27.91183,-93.60093,,HR,scraper,,,3.5,0.1006422,197.740113,5.686
atlantic,FGB,east,,eastBank,2022,9050,27.9073,-93.6006,27.9073,-93.6006,,HR,excavator,,,4.5,1.791706094,254.2372881,101.226333
atlantic,FGB,east,,eastBank,2022,9050,27.9073,-93.6006,27.9073,-93.6006,,HR,scraper,,,1.5,0.015590086,84.74576271,0.880795819
atlantic,FGB,east,,eastBank,2022,9051,27.91122,-93.6006,27.91122,-93.6006,,HR,excavator,,,2,0.73894143,112.9943503,41.74810339
atlantic,FGB,east,,eastBank,2022,9051,27.91122,-93.6006,27.91122,-93.6006,,HR,scraper,,,1.5,0.011855141,84.74576271,0.669781977
atlantic,FGB,east,,eastBank,2022,9052,27.9115,-93.60038,27.9115,-93.60038,,HR,excavator,,,2,1.412460273,112.9943503,79.80001542
atlantic,FGB,east,,eastBank,2022,9052,27.9115,-93.60038,27.9115,-93.60038,,HR,scraper,,,0.5,0.37944375,28.24858757,21.4375
atlantic,FGB,east,,eastBank,2022,9057,27.9068,-93.6001,27.9068,-93.6001,,HR,excavator,,,1,0.137288869,56.49717514,7.756433277
atlantic,FGB,east,,eastBank,2022,9057,27.9068,-93.6001,27.9068,-93.6001,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2022,9058,27.91127,-93.59983,27.91127,-93.59983,,HR,excavator,,,2,1.606086924,112.9943503,90.73937424
atlantic,FGB,east,,eastBank,2022,9058,27.91127,-93.59983,27.91127,-93.59983,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2022,9061,27.9116,-93.5995,27.9116,-93.5995,,HR,excavator,,,3.5,1.680896625,197.740113,94.96591102
atlantic,FGB,east,,eastBank,2022,9061,27.9116,-93.5995,27.9116,-93.5995,,HR,scraper,,,1.5,0.57150645,84.74576271,32.2885
atlantic,FGB,east,,eastBank,2022,9064,27.90683,-93.5991,27.90683,-93.5991,,HR,excavator,,,2,1.117541031,112.9943503,63.13791136
atlantic,FGB,east,,eastBank,2022,9064,27.90683,-93.5991,27.90683,-93.5991,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2022,9065,27.90873,-93.599,27.90873,-93.599,,HR,excavator,,,4,2.628831338,225.9887006,148.5215445
atlantic,FGB,east,,eastBank,2022,9065,27.90873,-93.599,27.90873,-93.599,,HR,scraper,,,0.5,0.0362496,28.24858757,2.048
