basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,habitatFishSurvey,excavatorDensity,excavatorBiomass,excavatorBioerosion,scraperDensity,scraperBiomass,scraperBioerosion,totalDensity,totalBiomass,totalBioerosion
atlantic,FGB,east,NA,East Buoy 3,2018,7401,27.9094,-93.5973,27.9094,-93.5973,HR,112.9943503,21.04183288,0.379344012,451.9774011,30.89603922,0.111707165,564.9717514,51.9378721,0.491051178
atlantic,FGB,east,NA,East Buoy 3,2018,7402,27.9094,-93.5975,27.9094,-93.5975,HR,84.74576271,21.69455515,0.659405548,706.2146893,152.0413128,1.511400075,790.960452,173.7358679,2.170805624
atlantic,FGB,east,NA,East Buoy 3,2018,7403,27.9096,-93.5975,27.9096,-93.5975,HR,169.4915254,8.045749171,0.246815386,197.740113,82.65313802,0.635593695,367.2316384,90.69888719,0.882409082
atlantic,FGB,east,NA,East Buoy 3,2018,7404,27.9075,-93.5991,27.9075,-93.5991,HR,112.9943503,0.912824311,0.023729915,282.4858757,16.23559488,0.111616271,395.480226,17.14841919,0.135346186
atlantic,FGB,east,NA,East Buoy 3,2018,7405,27.9073,-93.5991,27.9073,-93.5991,HR,169.4915254,88.39990029,1.622056355,254.2372881,122.5318774,1.292664279,423.7288136,210.9317777,2.914720634
atlantic,FGB,east,NA,East Buoy 3,2018,7406,27.9073,-93.5994,27.9073,-93.5994,HR,84.74576271,60.64510807,0.938920891,169.4915254,21.78673157,0.163944672,254.2372881,82.43183964,1.102865563
atlantic,FGB,east,NA,East Buoy 3,2018,7407,27.9075,-93.5994,27.9075,-93.5994,HR,56.49717514,1.171464426,0.04745983,367.2316384,39.49451711,0.245063453,423.7288136,40.66598154,0.292523283
atlantic,FGB,east,NA,East Buoy 3,2018,7408,27.9087,-93.5997,27.9087,-93.5997,HR,28.24858757,12.05936496,0.355614097,282.4858757,32.46564195,0.331333274,310.7344633,44.52500691,0.686947371
atlantic,FGB,east,NA,East Buoy 3,2018,7409,27.9087,-93.5999,27.9087,-93.5999,HR,56.49717514,21.13564635,0.355614097,254.2372881,28.81588165,0.164906009,310.7344633,49.95152801,0.520520106
atlantic,FGB,east,NA,East Buoy 3,2018,7410,27.9089,-93.5999,27.9089,-93.5999,HR,84.74576271,19.33123535,0.355614097,254.2372881,43.43485528,0.045056754,338.9830508,62.76609063,0.400670851
atlantic,FGB,east,NA,East Buoy 3,2022,9044,27.90807,-93.60203,27.90807,-93.60203,HR,84.74576271,11.87695516,0.199355556,169.4915254,30.35118031,0.198706559,254.2372881,42.22813547,0.398062114
atlantic,FGB,east,NA,East Buoy 3,2022,9045,27.90875,-93.60218,27.90875,-93.60218,HR,169.4915254,145.2694665,2.385351605,1129.943503,60.82194698,0.428175511,1299.435028,206.0914134,2.813527117
atlantic,FGB,east,NA,East Buoy 3,2022,9046,27.90995,-93.60215,27.90995,-93.60215,HR,225.9887006,30.2930162,0.479417092,141.2429379,3.064139572,0.013737135,367.2316384,33.35715578,0.493154227
atlantic,FGB,east,NA,East Buoy 3,2022,9048,27.90948,-93.60183,27.90948,-93.60183,HR,225.9887006,53.1206169,0.962650807,480.2259887,41.72562567,0.341148467,706.2146893,94.84624257,1.303799273
atlantic,FGB,east,NA,East Buoy 3,2022,9049,27.91183,-93.60093,27.91183,-93.60093,HR,112.9943503,40.05253469,0.811301274,451.9774011,61.67764847,0.447427825,564.9717514,101.7301832,1.258729099
atlantic,FGB,east,NA,East Buoy 3,2022,9050,27.9073,-93.6006,27.9073,-93.6006,HR,254.2372881,84.85173654,1.570233708,310.7344633,29.50369703,0.273594186,564.9717514,114.3554336,1.843827894
atlantic,FGB,east,NA,East Buoy 3,2022,9051,27.91122,-93.6006,27.91122,-93.6006,HR,112.9943503,34.37334803,0.659405548,225.9887006,19.15293074,0.148907396,338.9830508,53.52627877,0.808312944
atlantic,FGB,east,NA,East Buoy 3,2022,9052,27.9115,-93.60038,27.9115,-93.60038,HR,112.9943503,67.50450392,1.294534989,197.740113,69.6687132,0.41972204,310.7344633,137.1732171,1.714257029
atlantic,FGB,east,NA,East Buoy 3,2022,9057,27.9068,-93.6001,27.9068,-93.6001,HR,56.49717514,6.067799666,0.175625641,395.480226,96.07093827,0.670234031,451.9774011,102.1387379,0.845859672
atlantic,FGB,east,NA,East Buoy 3,2022,9058,27.91127,-93.59983,27.91127,-93.59983,HR,112.9943503,77.15223467,1.522227685,338.9830508,41.66566688,0.359208963,451.9774011,118.8179015,1.881436648
